timestamp,service,level,operation,status,message,details,user_id,session_id
2025-07-11T16:35:22.334748,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T16:35:22.334832,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T16:37:43.840331,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T16:37:43.840455,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T16:39:10.105527,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T16:39:10.105619,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T16:40:12.521250,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T16:40:12.521354,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T16:44:44.418614,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T16:44:44.418930,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T16:45:28.446053,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T16:45:28.446135,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T16:45:37.159062,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T16:45:37.159164,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T16:54:07.670491,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T16:54:07.670676,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T16:54:47.681542,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T16:54:47.681663,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T17:08:57.999441,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T17:08:57.999677,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T17:18:35.374879,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T17:18:35.374996,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T17:18:59.173637,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T17:18:59.173743,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T17:20:32.630836,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T17:20:32.630960,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T17:25:04.422097,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T17:25:04.422207,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T17:26:14.001491,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T17:26:14.001599,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T17:28:21.829053,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T17:28:21.829159,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T17:33:23.193043,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T17:33:23.193411,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T21:10:19.332027,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T21:10:19.332348,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T21:12:33.691357,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T21:12:33.691447,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T21:13:38.246289,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T21:13:38.246417,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T21:15:19.840426,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T21:15:19.840543,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T21:17:16.547569,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T21:17:16.547691,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T21:20:18.104912,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T21:20:18.105036,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T21:25:44.227357,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T21:25:44.227438,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
2025-07-11T21:37:35.180919,slack_bot,INFO,info,success,Initializing SlackVoxiesAgent,,,
2025-07-11T21:37:35.181022,slack_bot,INFO,info,success,SlackVoxiesAgent created successfully,,,
